Date (Y-M-D)	総数	増分	治療中	退院等	（退院	死亡	その他）	取下げ累計	備考
2021-04-01	1916	5	26	1890	(1826)	64	(0)	-	-
2021-04-02	1930	14	40	1890	(1826)	64	(0)	-	-
2021-04-03	1941	11	50	1891	(1827)	64	(0)	-	-
2021-04-04	1952	11	59	1893	(1829)	64	(0)	-	-
2021-04-05	1957	5	62	1895	(1831)	64	(0)	-	-
2021-04-06	1973	16	77	1896	(1831)	65	(0)	-	-
2021-04-07	1987	14	89	1898	(1833)	65	(0)	-	-
2021-04-08	1992	5	92	1900	(1835)	65	(0)	-	-
2021-04-09	2014	22	111	1903	(1837)	66	(0)	-	-
2021-04-10	2030	16	120	1910	(1844)	66	(0)	-	-
2021-04-11	2048	18	126	1922	(1856)	66	(0)	-	-
2021-04-12	2060	12	125	1935	(1869)	66	(0)	-	-
2021-04-13	2073	13	128	1945	(1879)	66	(0)	-	-
2021-04-14	2094	21	143	1951	(1885)	66	(0)	-	-
2021-04-15	2113	19	156	1957	(1891)	66	(0)	-	-
2021-04-16	2148	35	176	1972	(1906)	66	(0)	-	-
2021-04-17	2164	16	182	1982	(1916)	66	(0)	-	-
2021-04-18	2182	18	193	1989	(1923)	66	(0)	-	-
2021-04-19	2192	10	188	2004	(1937)	67	(0)	-	-
2021-04-20	2215	23	196	2019	(1951)	68	(0)	-	-
2021-04-21	2248	33	219	2029	(1961)	68	(0)	-	-
2021-04-22	2279	31	238	2041	(1973)	68	(0)	-	-
2021-04-23	2309	30	252	2057	(1989)	68	(0)	-	-
2021-04-24	2346	37	271	2075	(2007)	68	(0)	-	-
2021-04-25	2367	21	277	2090	(2021)	69	(0)	-	-
2021-04-26	2382	15	272	2110	(2041)	69	(0)	-	-
2021-04-27	2399	17	273	2126	(2057)	69	(0)	-	-
2021-04-28	2428	29	286	2142	(2071)	71	(0)	-	-
2021-04-29	2467	39	310	2157	(2086)	71	(0)	-	-
2021-04-30	2495	28	321	2174	(2103)	71	(0)	-	-
2021-05-01	2520	25	327	2193	(2120)	73	(0)	-	-
2021-05-02	2560	40	345	2215	(2142)	73	(0)	-	-
2021-05-03	2589	29	355	2234	(2159)	75	(0)	-	-
2021-05-04	2618	29	367	2251	(2174)	77	(0)	-	-
2021-05-05	2639	21	366	2273	(2195)	78	(0)	-	-
2021-05-06	2676	37	---	----	(-79)	79	(0)	-	-
2021-05-07	2723	47	416	2307	(2227)	80	(0)	-	-
2021-05-08	2803	80	469	2334	(2250)	84	(0)	-	-
2021-05-09	2866	63	506	2360	(2275)	85	(0)	-	-
2021-05-10	2916	50	532	2384	(2296)	88	(0)	-	-
2021-05-11	2957	41	542	2415	(2327)	88	(0)	-	-
2021-05-12	3028	71	583	2445	(2357)	88	(0)	-	-
2021-05-13	3084	56	605	2479	(2387)	92	(0)	-	-
2021-05-14	3129	45	613	2516	(2423)	93	(0)	-	-
2021-05-15	3174	45	629	2545	(2449)	96	(0)	-	-
2021-05-16	3233	59	646	2587	(2491)	96	(0)	-	-
2021-05-17	3249	16	608	2641	(2544)	97	(0)	-	-
2021-05-18	3292	43	599	2693	(2596)	97	(0)	-	-
2021-05-19	3328	36	578	2750	(2652)	98	(0)	-	-
2021-05-20	3356	28	541	2815	(2717)	98	(0)	-	-
2021-05-21	3381	25	516	2865	(2767)	98	(0)	-	-
2021-05-22	3436	55	515	2921	(2823)	98	(0)	-	-
2021-05-23	3472	36	515	2957	(2859)	98	(0)	-	-
2021-05-24	3495	23	509	2986	(2888)	98	(0)	-	-
2021-05-25	3596	101	554	3042	(2943)	99	(0)	-	-
2021-05-26	3632	36	517	3115	(3014)	101	(0)	-	-
2021-05-27	3650	18	505	3145	(3044)	101	(0)	-	-
2021-05-28	3691	41	482	3209	(3108)	101	(0)	-	-
2021-05-29	3713	22	471	3242	(3140)	102	(0)	-	-
2021-05-30	3727	14	459	3268	(3164)	104	(0)	-	-
2021-05-31	3752	25	445	3307	(3202)	105	(0)	-	-
2021-06-01	3772	20	422	3350	(3244)	106	(0)	-	-
2021-06-02	3790	18	376	3414	(3308)	106	(0)	-	-
2021-06-03	3799	9	344	3455	(3347)	108	(0)	-	-
2021-06-04	3810	11	322	3488	(3380)	108	(0)	-	-
2021-06-05	3824	14	270	3554	(3446)	108	(0)	-	-
2021-06-06	3839	15	255	3584	(3475)	109	(0)	-	-
2021-06-07	3843	4	226	3617	(3508)	109	(0)	-	-
2021-06-08	3851	8	210	3641	(3532)	109	(0)	-	-
2021-06-09	3855	3	186	3669	(3559)	110	(0)	-	-
2021-06-10	3861	6	148	3713	(3603)	110	(0)	-	※公式および報道発表では +7 だがそれだと計算が合わない
2021-06-11	3868	7	144	3724	(3613)	111	(0)	-	-
2021-06-12	3869	1	122	3747	(3636)	111	(0)	-	-
2021-06-13	3875	6	118	3757	(3645)	112	(0)	-	-
2021-06-14	3880	5	110	3770	(3658)	112	(0)	-	-
2021-06-15	3883	3	100	3783	(3671)	112	(0)	-	-
2021-06-16	3887	4	88	3799	(3687)	112	(0)	-	-
2021-06-17	3894	7	83	3811	(3697)	114	(0)	-	-
2021-06-18	3901	7	76	3825	(3711)	114	(0)	-	-
2021-06-19	3911	10	77	3834	(3720)	114	(0)	-	-
2021-06-20	3912	1	70	3842	(3728)	114	(0)	-	-
2021-06-21	3914	2	68	3846	(3732)	114	(0)	-	-
2021-06-22	3920	6	73	3847	(3733)	114	(0)	-	-
2021-06-23	3922	2	62	3860	(3746)	114	(0)	-	-
2021-06-24	3926	4	52	3874	(3759)	115	(0)	-	-
2021-06-25	3927	1	49	3878	(3763)	115	(0)	-	-
2021-06-26	3927	0	45	3882	(3767)	115	(0)	-	-
2021-06-27	3928	1	42	3886	(3771)	115	(0)	-	-
2021-06-28	3929	1	41	3888	(3773)	115	(0)	-	-
2021-06-29	3930	1	31	3899	(3784)	115	(0)	-	-
2021-06-30	3931	1	27	3904	(3789)	115	(0)	-	-
2021-07-01	3935	4	24	3911	(3791)	115	5	-	-
2021-07-02	3941	6	26	3915	(3795)	115	5	-	-
2021-07-03	3949	8	31	3918	(3798)	115	5	-	-
2021-07-04	3954	5	34	3920	(3800)	115	5	-	-
2021-07-05	3965	11	45	3920	(3800)	115	5	-	-
2021-07-06	3972	7	51	3921	(3801)	115	5	-	-
2021-07-07	3981	9	54	3927	(3807)	115	5	-	-
2021-07-08	3994	13	67	3927	(3807)	115	5	-	-
2021-07-09	4008	14	79	3929	(3809)	115	5	-	-
2021-07-10	4023	15	90	3933	(3813)	115	5	-	-
2021-07-11	4034	11	95	3939	(3819)	115	5	-	-
2021-07-12	4045	11	101	3944	(3824)	115	5	-	-
2021-07-13	4061	16	---	----	(-120)	115	5	-	-
2021-07-14	4094	33	140	3954	(3834)	115	5	-	-
2021-07-15	4115	21	154	3961	(3841)	115	5	-	-
2021-07-16	4156	41	194	3962	(3842)	115	5	-	-
2021-07-17	4189	33	222	3967	(3847)	115	5	-	-
2021-07-18	4212	23	233	3979	(3859)	115	5	-	-
2021-07-19	4237	25	248	3989	(3869)	115	5	-	-
2021-07-20	4260	23	241	4019	(3899)	115	5	-	-
2021-07-21	4326	66	280	4046	(3922)	116	8	-	-
2021-07-22	4388	62	324	4064	(3939)	116	9	-	-
2021-07-23	4435	47	352	4083	(3958)	116	9	-	-
2021-07-24	4470	35	363	4107	(3982)	116	9	-	-
2021-07-25	4542	72	413	4129	(4004)	116	9	-	-
2021-07-26	4621	79	463	4158	(4033)	116	9	-	-
2021-07-27	4692	72	494	4198	(4072)	116	10	-	※取り下げ1名発生(累計7名)
2021-07-28	4811	119	593	4218	(4092)	116	10	-	-
2021-07-29	4905	94	652	4253	(4126)	117	10	-	-
2021-07-30	5015	110	738	4367	(4239)	118	10	-	-
2021-07-31	5105	90	777	4328	(4199)	118	11	-	-
2021-08-01	5186	81	805	4381	(4252)	118	11	-	-
2021-08-02	5242	56	824	4418	(4289)	118	11	-	-
2021-08-03	5326	84	859	4467	(4338)	118	11	-	※取り下げ1名発生 総数5327名→5326名 (累計8名)
2021-08-04	5444	118	903	4541	(4412)	118	11	-	-
2021-08-05	5517	73	931	4586	(4456)	118	12	-	-
2021-08-06	5595	78	921	4674	(4544)	118	12	-	-
2021-08-07	5677	82	913	4764	(4634)	118	12	-	-
